时间,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
2016年,165.31,190.64,1819.01,449.68,640,1406.47,948.07,1275.98,100.06,1690.56,573.83,1468.59,983.18,1617.15,2764.09,4284.1,2432.16,3936.63,2076.05,2216.12,385.49,1395.58,4675.9,1498.16,2575.4,37.38,827.93,580.21,123.6,68.96,297.44
2015年,165.61,196.94,1865.65,485.91,645.34,1457.48,972.38,1314.09,143.86,1780.3,730.19,1539.37,1066.16,1693.35,2849.58,4376,2497.11,4079.4,2135.85,2303.66,401.13,1450.39,4815.57,1558.96,2625.28,38.57,845.99,600.01,118.39,65.47,294.49
2014年,179.6,199.78,1915.45,514.74,669.44,1558.8,1000.4,1360.29,171.68,1799.5,964.64,1585.35,1149.35,1738.55,2910.7,4420,2550.67,4188.3,2130.1,2360.31,412.86,1483.76,5000.59,1600.57,2678.85,39.85,879.41,619.6,120.56,75.43,303.6
2013年,189.23,200.99,1932.85,502.18,684.5,1624.5,1001.15,1356.74,184.75,1787.26,1287.53,1612.59,1296.24,1708.02,2931.41,4426.74,2566.07,4096.91,2282.58,2471.53,433.78,1502.25,5004.1,1604.1,2708.65,36.98,897.9,608.85,120.83,75.31,274.72
2012年,187.39,193.75,1847.5,473.76,693.78,1592.6,1001.15,1381.61,178.75,1775.17,1338.33,1555.2,1340.86,1645.88,2902.39,4587.28,2543.18,4245.52,2256.63,2466.6,438.56,1524.31,5132.41,1604.09,2708.65,34.4,900.24,590.7,116.68,69.45,265.43
2011年,179.34,191.26,1885.2,446.1,684.2,1585.4,989.28,1367.93,180.65,1745.49,1281.93,1467.31,1297.8,1570.5,2837.13,4569,2533.05,4158.2,2300.6,2411.98,416.49,1540.57,5101.79,1521.6,2689.82,32.3,880,560.3,115.2,68.31,254
2010年,183.21,186.93,1846.03,474.84,684.38,1567.63,986.59,1360.77,171.87,1728.52,1248.43,1442.54,1272.57,1540.65,2747.55,4547.05,2476.1,4044.86,2253.29,2344.04,413.22,1557.87,5157.85,1616.34,2766.82,29.64,884.44,567.2,113.15,73.7,171.96
2009年,186.57,180.96,1968.04,498.78,683.7,1606.18,1007.75,1356.7,175.16,1760.2,1225.75,1482.57,1315.79,1569.05,2753.06,4528.93,2546.12,4032.76,2392.28,2332.38,411.53,1604.07,5122,1617.96,2736.17,30.47,920.33,568.91,109.77,91.7,180.42
2008年,179.82,180.26,2015.17,452.2,644.39,1584,976.5,1286.04,162.52,1716.23,1161.85,1432.43,1324.09,1508.7,2725.8,4462,2462.4,3915.3,2380.38,2307,416.25,1566.47,5325.8,1587.47,2669.03,30.56,880.7,564.81,107.21,89,176.95
2007年,168.18,147.95,1907.05,422.19,636.37,1429.44,1084.77,1217.2,122.93,1620.06,1039.1,1334.2,1294.62,1420.07,2656.51,4185.53,2290.58,3772,2275.09,2169.47,323.44,1422.92,5295.8,1548.7,2457.6,25.46,851.6,561.97,88.78,82.64,137.22
2006年,144.59,145.63,1812.78,377.32,620.24,1416.12,929.54,1209.82,108.31,1550.78,1003,1202.9,1242.44,1344.13,2508.52,3953.3,2130.77,3452.45,2002.72,2259.86,305.42,1377.38,5095.3,1562.07,2365.01,27.95,804.53,590,89.01,83.84,134.66
2005年,218.78,255.45,3064.39,463.28,738.65,1453.55,615.19,1316.83,156,1927.2,1213.15,2034.04,1330.11,1566.68,3238.69,4439,2340.3,4435.01,2143.5,3015.04,393.54,1756.28,5744.77,1972.87,2601.71,30.24,764.1,650.15,105.12,122.71,228.49
2004年,243.24,252.42,2945.91,452.73,711.22,1364.84,568.04,1217.28,50.75,1910.78,1125.27,1968.96,1241.81,1441.45,3058.19,4232,2190.04,4343.43,1989.05,2670.99,370.21,1720.16,5627.31,2033.14,2605.49,26.17,756.6,641.01,106.28,117.63,206.67
2003年,248.5,245.09,2763.41,462.53,647.73,1275.42,523.89,1046.22,195,1992.96,1132.38,2019.31,1180.81,1301.18,2975.21,3914,2123.34,4108.7,1961.05,2637.67,346.56,1719.56,5564.87,1867.47,2554.13,25.22,722.1,630.15,101,125.05,191.17
2002年,277.8,269.9,2614.3,472.7,681.8,1281.8,474.5,1010.8,216.1,2011.7,1139.2,1995.4,1132.9,1369.9,2883,3800,2107.6,3908.5,2062.3,3029.3,309.1,1690.6,5376.2,1869.1,2486.9,23.7,735.2,625.1,104.8,126.2,205.1
2001年,248.2,182.9,2592.5,475.5,765.4,1291.8,889.6,971.2,239.5,2028.5,1146.9,1910.6,1119.9,1481.4,2769.4,3672.1,1885.8,3604.3,2138.8,3154.6,301,1636.4,5270.8,1787.7,2518.6,23.9,674,596,103.3,110.6,151.9
2000年,250.1,164.8,2415.8,468.4,801.3,1300.2,646,992.6,230,2015,1043,1858.4,1108.6,1755,2660.3,3587.7,1900.4,3583.8,2034.8,3171.8,344,1610,4781.1,1802.7,2587.1,23.5,639.9,548.2,104,120.3,133
1999年,248.3,126.96,2372.77,502.22,777.55,1123.39,877.59,1014.38,240.63,1917.55,1024.36,1773.31,1049.55,1554.28,2560.48,3556.43,2121.03,3422.36,2019.05,2309.55,282.64,1512.18,4732.8,1641.03,2459.4,22.26,793.18,565,109.16,122.1,188.34
1998年,254.5,127.23,2332.66,510.56,816.06,1039.9,855.04,958.07,242.78,1961.86,1040.56,1809.12,1024.15,1799.63,2485.9,3439.7,1843.86,3492.24,1768.66,2085.21,256.51,1492.95,4793.88,1593.23,2507.91,21.28,731.59,567.05,113.25,121.12,169.82
1997年,241,101.7,2194.4,476.1,809.8,953.3,818.19,932.2,224.61,1829.8,1010.1,1529.4,994.4,1680,2209.7,2931.9,1839.4,3401.01,1642.4,2122.1,236.68,1475.3,4802.09,1540.8,2461.6,21.1,678.6,521.86,108.9,100.6,145.73
